n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
707,0.00033139775799032267,2.7873350120013628e-06,0,0,-0.0097450478175127309,-5.5511151231257827e-16,-0.35028685594724784,1.2866821970168027e-05,20
708,0.00010327106932944996,3.8945108540868096e-07,0,0,-0.010183338318641821,-5.5511151231257827e-16,-0.36951875260313738,1.3220892479626559e-05,20
709,0.00035066790283814987,2.0473228772015358e-05,0,0,-0.010468382538541654,-2.2204460492503131e-16,-0.38261720396137355,1.3458217836465367e-05,20
710,2.0740417104588355e-06,5.2454850547985952e-07,0,0,-0.010619901122907907,-6.9388939039072284e-16,-0.39043776287611248,1.3599777910728422e-05,20
711,2.1998352027958665e-07,4.5467844799986971e-06,0,0,-0.010646102837985777,-1.7694179454963432e-16,-0.39347893309333681,1.3657202783200101e-05,20
712,0.00054219609444911237,8.0741710993073823e-07,0,0,-0.0105417903727969,-4.9960036108132044e-16,-0.39177075545309181,1.3632095921581788e-05,20
713,0.00012635183285773785,4.6095213370584811e-06,0,0,-0.010288685984700119,-2.2204460492503131e-16,-0.38485033857846007,1.3515891093049555e-05,20
714,0.00038495035863321027,1.1885113778138714e-07,0,0,-0.0098581686307344096,2.1094237467877974e-15,-0.37182269489857678,1.3290215325829051e-05,20
715,0.00026796190146351347,1.1396361587691916e-06,0,0,-0.0092170758494480864,-1.5543122344752192e-15,-0.35152376362488447,1.2927904981273893e-05,20
716,1.1115137344110258e-05,2.2491855420814281e-06,0,0,-0.0083373259210732797,2.2204460492503131e-15,-0.32281275345497029,1.2394964162855737e-05,20
717,0.00032549646355022738,5.8182155603479706e-06,0,0,-0.0072095061606081146,1.7763568394002505e-15,-0.28501072463953925,1.1653811402573247e-05,20
718,0.00019591755799458455,3.1611395949683229e-06,0,0,-0.0058589577550467453,1.0547118733938987e-15,-0.23845944871579405,1.0668066105362856e-05,20
719,0.00030630978875362226,1.5008330601163922e-06,0,0,-0.0043603551075062086,-1.1102230246251565e-15,-0.18509527592457431,9.4088204835500813e-06,20
720,0.00016467383965863852,3.0475830136944467e-06,0,0,-0.0028442388638119098,6.7862382380212694e-15,-0.12883643982535986,7.8618166253858162e-06,20
721,0.00010784620448342391,5.5904321892539113e-06,0,0,-0.0014882926822803455,-2.5847379792054426e-15,-0.075522760873639072,6.0343076895742225e-06,20
722,0.0030658465043711496,2.444635115720002e-06,0,0,-0.00048942669379670178,2.5673907444456745e-15,-0.032199895326368022,3.9599066646347398e-06,20
723,0.00087388006259378145,1.2141919903709945e-07,0,0,-2.0376763815832533e-05,9.7977181923170065e-15,-0.0057529229159847262,1.7003176650488777e-06,20
724,0.00016475846421681414,1.2154409540330281e-06,0,0,-0.00018360951678531023,4.7462034302725442e-15,-0.0012148059703136482,6.7688146792027338e-07,20
725,8.0363208308970782e-07,1.0293133559747675e-06,0,0,-0.00098013665475882306,4.7184478546569153e-15,-0.020334586771909358,3.0410962275605867e-06,20
726,9.3762654765095849e-05,3.9329310778541227e-06,0,0,-0.0023067932509395206,6.2172489379008766e-15,-0.060990987949196551,5.3190407205177317e-06,20
727,0.0011838063920966504,1.4273338479462674e-08,0,0,-0.0039835716469287519,4.5519144009631418e-15,-0.11771730010254799,7.4179164610965652e-06,20
728,7.6741460956180739e-08,2.0075572764282486e-07,0,0,-0.0057995646964847936,5.3290705182007514e-15,-0.18312359071629203,9.2713152592282534e-06,20
729,0.0004031373265932245,8.5287031263469869e-06,0,0,-0.007559682735244877,-1.9984014443252818e-15,-0.24964530230556647,1.0839697985822827e-05,20
730,0.00034744065302398972,3.7830656997187774e-08,0,0,-0.0091172964758081676,4.4408920985006262e-16,-0.31100422083211399,1.2110368725904892e-05,20
731,0.00014335995659858701,2.1793454893847196e-06,0,0,-0.010386796915102803,4.4408920985006262e-16,-0.36300827216410347,1.3093399581520246e-05,20
732,0.0036334026104403432,2.9722348402473537e-07,0,0,-0.011338752019351972,3.1086244689504383e-15,-0.40365047972329648,1.3815096838886278e-05,20
733,1.0932656668810044e-08,6.4611834244481339e-06,0,0,-0.011984919789772674,-2.2204460492503131e-16,-0.43270851547221367,1.4310807043294545e-05,20
734,0.00057925824380596893,1.0395281177460867e-07,0,0,-0.012360499372149641,-8.8817841970012523e-16,-0.45112244898239695,1.4618425418715734e-05,20
735,0.0025153253888999349,7.2900153426493029e-07,0,0,-0.012508582047033642,1.8127860323957634e-16,-0.46037673702275256,1.4773327170273419e-05,20
736,0.00022189899805028467,1.1698759914883895e-05,0,0,-0.012468935746485638,-3.8857805861880479e-16,-0.4620115595054386,1.4804876978018716e-05,20
737,3.7428410809091194e-05,1.4321179370835893e-07,0,0,-0.01227124658900125,-1.8873791418627661e-15,-0.45729952615658176,1.4734315618932294e-05,20
738,1.6743510124558859e-05,8.7998050520208793e-07,0,0,-0.011932018696242164,-1.7763568394002505e-15,-0.44707179622567184,1.4573683653644835e-05,20
739,7.0520704389491866e-05,1.0476314440217201e-06,0,0,-0.011454243946985354,1.7763568394002505e-15,-0.4316611873420948,1.432546546621101e-05,20
740,0.00053320876928639172,1.104382461956074e-05,0,0,-0.010829312531095425,4.6629367034256575e-15,-0.41093632259365798,1.3982754558851231e-05,20
741,0.0019372604435422367,3.812689289827934e-06,0,0,-0.010041115107320309,2.2204460492503131e-16,-0.38441708273033726,1.3529896711872731e-05,20
742,2.3974018266628578e-05,4.197913782634993e-07,0,0,-0.0090726305930139972,7.5495165674510645e-15,-0.35147696337539713,1.2943718827124705e-05,20
743,9.7778203603634574e-05,1.8971313961478244e-06,0,0,-0.0079152654990100046,9.3258734068513149e-15,-0.31164340673634783,1.2195561629812318e-05,20
744,4.5895234796055391e-08,2.9627245298437274e-06,0,0,-0.0065805872127597809,-1.3322676295501878e-14,-0.26499426850089591,1.1254362058392647e-05,20
745,0.0019194426588338889,2.2685813149501718e-08,0,0,-0.005112758539254969,4.4408920985006262e-15,-0.21261093400850228,1.0090931044201972e-05,20
746,0.00016724581923489428,9.1290456007118179e-07,0,0,-0.0035981526018318277,5.9952043329758453e-15,-0.15698830237462857,8.6833101425745637e-06,20
747,4.930113988651092e-09,1.5114060062775704e-06,0,0,-0.0021671057507184344,4.8849813083506888e-15,-0.10223858860160817,7.0226785566148369e-06,20
748,0.00022444910357272805,6.6347390302178354e-07,0,0,-0.00098290342855023027,-2.886579864025407e-15,-0.053901037379098682,5.1188341965442898e-06,20
749,0.0020788755213008358,1.8524347246875089e-06,0,0,-0.00021614144649007017,-7.3274719625260332e-15,-0.018232904664600369,3.0041678926196211e-06,20
750,0.0010918609343640924,1.4350311259896412e-05,0,0,-8.4812959002533717e-06,-9.7699626167013776e-15,-0.001029754006857786,7.4237393057007388e-07,20
751,0.00018978073394515236,6.4562534557185666e-06,0,0,-0.00043616746097896453,1.9984014443252818e-15,-0.0062562867309736703,1.6399936207437355e-06,20
752,0.0014305380878412469,5.7944043599804859e-07,0,0,-0.0014865551459095627,2.1316282072803006e-14,-0.034939840321477789,3.9953900563159884e-06,20
753,5.6767763646198997e-05,8.6411833262970719e-07,0,0,-0.0030574255772641834,1.1990408665951691e-14,-0.084757545399959611,6.2693910089163872e-06,20
754,0.0034382042085713042,1.7751461878527975e-09,0,0,-0.004979966342215647,1.5987211554602254e-14,-0.1505029739817374,8.3829587466829374e-06,20
755,5.9838703339094158e-05,3.3217809809496795e-06,0,0,-0.0070567337208213843,-2.2204460492503131e-15,-0.22526503888936844,1.0276491731623532e-05,20
756,0.0017164351863197258,1.3837589321586609e-07,0,0,-0.0091010119405954271,1.2434497875801753e-14,-0.30188611767125195,1.1912541258492331e-05,20
757,0.0075144000894499406,7.5191253746981051e-08,0,0,-0.010965783308355626,1.3322676295501878e-14,-0.37422256553602651,1.3276206821833119e-05,20
758,0.00011845560692388256,8.2896155615175552e-06,0,0,-0.01255682322794005,6.2172489379008766e-15,-0.43789601340663253,1.4372226123925459e-05,20
759,0.0016878934590336288,8.9562994474213611e-07,0,0,-0.013831100173643307,-8.8817841970012523e-16,-0.49047144730692693,1.5219911410144093e-05,20
760,6.1434019090629517e-05,1.4283007003880179e-07,0,0,-0.014785654866545261,3.9968028886505635e-15,-0.53119327171314978,1.5847321163942909e-05,20
761,0.00018760809070964018,1.3378288663293558e-05,0,0,-0.015442829373035094,-1.7763568394002505e-15,-0.56049006266729151,1.6285789051222246e-05,20
762,0.0076473453639422347,4.2191005794192344e-06,0,0,-0.015836245138695526,-2.3869795029440866e-15,-0.57943749236981723,1.6565468370125065e-05,20
763,4.1803451938463396e-06,4.1719172031420962e-06,0,0,-0.015999823272053071,-1.2490009027033011e-16,-0.58929916955771866,1.67121072234867e-05,20
